Pair,Deviation,Heartbeat,Dec,Proxy,Enabled
LDO / ETH,2%,24h,18,0x4e844125952D32AcdF339BE976c98E22F6F318dB,N
LINK / ETH,1%,6h,18,0xDC530D9457755926550b59e8ECcdaE7624181557,N
LINK / USD,1%,1h,8,0x2c1d072e956AFFC0D435Cb7AC38EF18d24d9127c,Y
LON / ETH,2%,24h,18,0x13A8F2cC27ccC2761ca1b21d2F3E762445f201CE,N
LRC / ETH,1%,24h,18,0x160AC928A16C93eD4895C2De6f81ECcE9a7eB7b4,N
LRC / USD,1%,24h,8,0xFd33ec6ABAa1Bdc3D9C6C85f1D6299e5a1a5511F,N
LTC / USD,1%,24h,8,0x6AF09DF7563C363B5763b9102712EbeD3b9e859B,N
MANA / ETH,2%,24h,18,0x82A44D92D6c329826dc557c5E1Be6ebeC5D5FeB9,N
MATIC / USD,2%,24h,8,0x7bAC85A8a13A4BcD8abb3eB7d6b4d632c5a57676,N
MKR / ETH,1%,24h,18,0x24551a8Fb2A7211A25a17B1481f043A8a8adC7f2,N
MKR / USD,1%,1h,8,0xec1D1B3b0443256cc3860e24a46F108e699484Aa,N
MLN / ETH,2%,24h,18,0xDaeA8386611A157B08829ED4997A8A62B557014C,N
MSFT / USD,0.5%,24h,8,0x021Fb44bfeafA0999C7b07C4791cf4B859C3b431,N
MTA / ETH,2%,24h,18,0x98334b85De2A8b998Ba844c5521e73D68AD69C00,N
MTA / USD,2%,24h,8,0xc751E86208F0F8aF2d5CD0e29716cA7AD98B5eF5,N
N225 / JPY,0.5%,24h,8,0x5c4939a2ab3A2a9f93A518d81d4f8D0Bc6a68980,N
NEAR / USD,2%,24h,8,0xC12A6d1D827e23318266Ef16Ba6F397F2F91dA9b,N
NFLX / USD,0.5%,24h,8,0x67C2e69c5272B94AF3C90683a9947C39Dc605ddE,N
NGN / USD,0.3%,24h,8,0x3e59bc23ea3f39e69b5e662B6fC5e7e6D22B6914,N
NMR / ETH,2%,24h,18,0x9cB2A01A7E64992d32A34db7cEea4c919C391f6A,N
NMR / USD,2%,24h,8,0xcC445B35b3636bC7cC7051f4769D8982ED0d449A,N
NU / ETH,2%,24h,18,0xFd93C391f3a81565DaE1f6A66115C26f36A92d6D,N
NZD / USD,0.3%,24h,8,0x3977CFc9e4f29C184D4675f4EB8e0013236e5f3e,N
OCEAN / ETH,2%,24h,18,0x9b0FC4bb9981e5333689d69BdBF66351B9861E62,N
OCEAN / USD,2%,24h,8,0x7ece4e4E206eD913D991a074A19C192142726797,N
OGN / ETH,2%,24h,18,0x2c881B6f3f6B5ff6C975813F87A4dad0b241C15b,N
OKB / USD,2%,24h,8,0x22134617Ae0f6CA8D89451e5Ae091c94f7D743DC,N
OMG / ETH,2%,24h,18,0x57C9aB3e56EE4a83752c181f241120a3DBba06a1,N
OMG / USD,2%,24h,8,0x7D476f061F8212A8C9317D5784e72B4212436E93,N
ONT / USD,2%,24h,8,0xcDa3708C5c2907FCca52BB3f9d3e4c2028b89319,N
ORN / ETH,2%,24h,18,0xbA9B2a360eb8aBdb677d6d7f27E12De11AA052ef,N
OXT / USD,5%,24h,8,0xd75AAaE4AF0c398ca13e2667Be57AF2ccA8B5de6,N
Orchid,200%,24h,5,0xa175FA75795c6Fb2aFA48B72d22054ee0DeDa4aC,N
PAX / ETH,2%,24h,18,0x3a08ebBaB125224b7b6474384Ee39fBb247D2200,N
PAX / RESERVES,10%,24h,8,0xf482Ed35406933F321f293aC0e4c6c8f59a22fA5,N
PAXG / ETH,2%,24h,18,0x9B97304EA12EFed0FAd976FBeCAad46016bf269e,N
PAXG / RESERVES,10%,24h,8,0x716BB8c60D409e54b8Fb5C4f6aBC50E794DA048a,N
PERP / ETH,2%,24h,18,0x3b41D5571468904D4e53b6a8d93A6BaC43f02dC9,N
PHP / USD,0.3%,24h,8,0x9481e7ad8BE6BbB22A8B9F7B9fB7588d1df65DF6,N
PUNDIX / USD,2%,24h,8,0x552dDBEf6f5a1316aec3E30Db6afCD433548dbF3,N
QQQ / USD,0.5%,24h,8,0x6b54e83f44047d2168a195ABA5e9b768762167b5,N
RAI / ETH,2%,24h,18,0x4ad7B025127e89263242aB68F0f9c4E5C033B489,N
RAMP / USD,2%,24h,8,0x4EA6Ec4C1691C62623122B213572b2be5A618C0d,N
RARI / ETH,2%,24h,18,0x2a784368b1D492f458Bf919389F42c18315765F5,N
RCN / BTC,5%,6h,8,0xEa0b3DCa635f4a4E77D9654C5c18836EE771566e,N
REN / ETH,2%,24h,18,0x3147D7203354Dc06D9fd350c7a2437bcA92387a4,N
REN / USD,1%,24h,8,0x0f59666EDE214281e956cb3b2D0d69415AfF4A01,N
REP / ETH,2%,24h,18,0xD4CE430C3b67b3E2F7026D86E7128588629e2455,N
REP / USD,1%,1h,8,0xF9FCC6E1186Acf6529B1c1949453f51B4B6eEE67,N
RGT / ETH,2%,24h,18,0xc16935B445F4BDC172e408433c8f7101bbBbE368,N
RLC / ETH,2%,24h,18,0x4cba1e1fdc738D0fe8DB3ee07728E2Bc4DA676c6,N
RUB / USD,0.5%,24h,8,0x73A11E47325e3C9b6a48B8ed48Ee0ba89109FB75,N
RUNE / ETH,2%,24h,18,0x875D60C44cfbC38BaA4Eb2dDB76A767dEB91b97e,N
RUNE / USD,1%,24h,8,0x48731cF7e84dc94C5f84577882c14Be11a5B7456,N
SAND / USD,2%,24h,8,0x35E3f7E558C04cE7eEE1629258EcbbA03B36Ec56,N
SFI / ETH,2%,24h,18,0xeA286b2584F79Cd4D322Fe107d9683971c890596,N
SGD / USD,0.15%,24h,8,0xe25277fF4bbF9081C75Ab0EB13B4A13a721f3E13,N
SNX / ETH,2%,24h,18,0x79291A9d692Df95334B1a0B3B4AE6bC606782f8c,N
SNX / USD,1%,24h,8,0xDC3EA94CD0AC27d9A86C180091e7f78C683d3699,N
SPY / USD,0.5%,24h,8,0x065B8808087C2d7A3C104E276C80Fe6Fc1B47f1c,N
SRM / ETH,2%,24h,18,0x050c048c9a0CD0e76f166E2539F87ef2acCEC58f,N
STAKE / ETH,2%,24h,18,0xa1FFC11Eaa62d34C3B3272270AEcF9D879773B32,N
STMX / USD,2%,24h,8,0x00a773bD2cE922F866BB43ab876009fb959d7C29,N
SUSD / ETH,1%,24h,18,0x8e0b7e6062272B5eF4524250bFFF8e5Bd3497757,N
SUSHI / ETH,2%,24h,18,0xe572CeF69f43c2E488b33924AF04BDacE19079cf,N
SUSHI / USD,1%,1h,8,0xCc70F09A6CC17553b2E31954cD36E4A2d89501f7,Y
